"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"nhVNS.5";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"NhVNS.5";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"VhVNS.5";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"nhSTRATMH.5";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"NhSTRATMH.5";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"VhSTRATMH.5";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"nhLH.5";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"NhLH.5";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"VhLH.5";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"nhKO.5";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"NhKO.5";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"VhKO.5";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"nhBarca.5";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"NhBarca.5";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"VhBarca.5";"cvBarca"
"iso2004.txt";135501719204;14;2;2;2;3;5;275;126;58;21;7;528519071888768;2459501677453749;9929306828136744;234296002882244704;6604083660042021888;0,07497;14;2;2;2;2;6;262;131;69;18;7;437323325439308;1938958236769313;13795520876180988;213058418737629152;6604083660042021888;0,074370276994718;18;2;2;2;3;9;252;125;74;24;12;380449217119920;1172627740923929;7386832442937981;84712705236347024;5124739047350916096;0,0640860830661282;15;2;2;3;2;6;262;131;69;17;8;437323325439308;1938958236769313;13795520876180988;159784235929118752;6167198421181041664;0,0696376169203019;14;2;3;3;4;2;275;146;47;17;2;526597184354627;4681465711774993;27858592165403856;525211715104480448;4502102611052260864;0,0740094001048784
"Kozak1.txt";64445;10;2;2;2;2;2;1316;602;1710;369;3;3,26996470838222;0,249776492533195;8,54105023767997;24,405593378427;34,8888888888889;0,06397;10;2;2;2;2;2;1041;1152;985;561;261;2,50088171703666;1,20480007595486;1,95394264217063;3,77826710006641;33,2688598229621;0,0340436773891391;10;2;2;2;2;2;785;531;877;1204;603;1,92243742139641;0,249679920272662;0,665454039569435;3,63920100219644;33,1198952721192;0,0478670120105816;10;2;2;2;2;2;1041;1152;985;561;261;2,50088171703666;1,20480007595486;1,95394264217063;3,77826710006641;33,2688598229621;0,0340436773891391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"Kozak2.txt";11295808;10;2;2;2;2;2;1716;683;1175;319;107;196297,737073193;42152,4756082137;460228,078229787;807550,352453297;9991195,72137305;0,07473;10;2;2;2;2;2;1390;1252;841;394;123;137157,127622794;137690,957915259;245975,5010809;814424,135825453;9792529,56428052;0,0602121718549073;10;2;2;2;2;2;1215;1194;909;512;170;110375,07208183;108357,882296042;203308,495371429;677339,920898438;9240981,26536332;0,0602155989991459;10;2;2;2;2;2;1085;1109;893;705;208;93209,2103582578;83852,0139476909;137378,625196094;653879,192241839;8903831,89191938;0,0634495824156198;10;2;2;2;2;2;1179;1094;1088;490;149;105292,579189516;85940,3045929791;273813,260652853;773954,638229487;9405304,86101934;0,0614422466641266
"Kozak3.txt";448235;10;2;2;2;2;2;775;570;383;204;68;727,143615400624;1015,9683625731;2642,54453980871;9525,65174452134;159222,936634948;0,07495;11;2;2;3;2;2;692;564;427;244;73;573,128437301614;735,814958377345;2289,07931267105;9508,60937919914;158500,075436292;0,0734214781809031;12;2;2;2;3;3;686;570;426;245;73;563,791141446166;747,240569405971;2270,35804183473;9536,24579758434;158500,075436292;0,0675481071064289;11;2;2;2;2;3;698;570;431;228;73;582,758647301746;779,688815020006;2534,89581774431;9058,96958679594;158500,075436292;0,070743083351875;11;2;2;2;2;3;775;637;312;196;80;726,2053655743;1407,19696704886;2037,32694480795;7006,53976818758;157273,915320312;0,0725253829039313
"ME84.txt";505256;10;2;2;2;2;2;158;71;28;24;3;36718,5465470277;83812,9573497322;250180,994897959;1478066,87326389;103280422,222222;0,0712;10;2;2;2;2;2;146;77;33;25;3;26740,6335147307;76379,1755776691;243381,258034894;1516885,0144;103280422,222222;0,0690497038979693;14;2;2;3;4;3;116;68;65;32;3;13449,7897592152;31599,732482699;204254,615384615;1901779,20214844;103280422,222222;0,0580488185708833;11;2;2;2;2;3;150;81;27;23;3;29757,0638222222;106879,42325865;279199,34430727;1442411,72400756;103280422,222222;0,0660836583971509;10;2;2;2;2;2;134;71;51;25;3;20374,1088282137;57817,2470250982;329079,568944071;1456209,613824;68853614,8148146;0,0701131665162997
"mrts.txt";33765595,919363;14;4;3;2;3;2;983;701;200;99;17;9159867,16345804;11106199,339637;25615102,2933687;267561903,951009;7798140358,9896;0,07471;13;4;2;2;2;3;787;699;346;140;28;6486766,5526942;6468650,32580122;17130438,5128104;126854194,669673;6230002189,59464;0,0741797446174323;16;3;3;3;3;4;770;679;374;149;28;6283569,61985189;5851482,7746032;16343022,6421741;131559832,208926;6230002189,59464;0,0654827227453355;13;3;2;2;3;3;812;636;371;154;27;6799581,11418049;5296099,31674215;15521305,9283453;143093639,945019;6334291950,93447;0,0731247352919513;14;2;3;2;3;4;477;812;486;189;36;3211978,64329054;6226500,43251619;13090193,7073938;113474531,904141;5519555629,43765;0,0736608730449463
"p100e10.txt";99569,17584056;10;2;2;2;2;2;87;8;720;169;16;12,2125367279963;0,026752125084729;31,8307502633832;8,93983967392979;5,45798296828818;0,02911;10;2;2;2;2;2;122;228;294;229;127;14,3155507836526;4,74634554148382;3,98893736489767;3,98510640934436;14,3868935114938;0,00788297882530118;10;2;2;2;2;2;122;227;278;244;129;14,3155507836526;4,7067438067074;3,61892203830777;4,39653216414104;14,507635692075;0,00785989029091757;10;2;2;2;2;2;122;228;294;229;127;14,3155507836526;4,74634554148382;3,98893736489767;3,98510640934436;14,3868935114938;0,00788297882530118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"p75.txt";8182;10;2;2;2;2;2;150;64;49;18;3;10,0916;17,0380859375;102,75052061641;414,802469135803;30000,2222222222;0,07423;10;2;2;2;2;2;155;81;34;11;3;11,2010822060354;35,2028654168572;122,536332179931;206,446280991736;30000,2222222222;0,0740742561549127;14;2;2;3;4;3;98;86;66;31;3;4,45408163265306;9,25648999459167;53,4315886134068;585,748178980229;30000,2222222222;0,0612331228574004;12;3;2;2;2;3;155;80;35;11;3;11,2010822060354;33,5725;126,672653061224;206,446280991736;30000,2222222222;0,0642187134234482;10;2;2;2;2;2;150;67;45;19;3;10,0243226666667;18,1899768256069;88,3544142661179;416,070564222192;20000,1481481482;0,0705871529141505
"pop1076.txt";22952;17;4;4;4;2;3;779;242;41;11;3;5,57109358134997;71,6468308175671;1559,32302201071;9954,69421487603;157104,666666667;0,07492;17;3;3;3;5;3;748;253;57;15;3;4,57289849581058;37,1627427393023;769,924899969221;17345,1822222222;157104,666666667;0,0747467994938206;159;2;2;2;3;150;312;222;128;201;213;0,246671597633136;0,24926953981008;0,24945068359375;3,23566248360189;25525,3442218255;0,0667398241538322;18;4;3;3;3;5;779;224;54;13;6;5,57109358134997;37,8915617028061;635,611796982167;9723,00591715976;153677,805555556;0,0709970398942209;17;4;3;5;2;3;779;229;54;11;3;5,56394198496825;45,0600862403988;1553,00965935071;9049,72201352366;104736,444444444;0,0740283100263281
"pop1616.txt";55876;21;3;4;5;3;6;1085;390;95;34;12;7,09862260825246;111,002735042735;2085,07523545706;9440,51557093426;309994,055555556;0,07499;21;3;4;6;3;5;1124;351;96;36;9;8,51823051886374;110,659280362984;2220,08289930556;12685,8055555556;303631,061728395;0,0745541827532053;193;2;2;2;2;185;416;271;308;299;322;0,239806767751479;0,239702618428398;1,17738024962051;7,02121900202459;63015,4273851318;0,0702842168882068;21;3;4;5;4;5;1085;388;98;36;9;7,09862260825246;106,31347645871;2237,42232403165;12685,8055555556;303631,061728395;0,0730395506983667;20;4;3;4;4;5;1152;325;92;38;9;9,7484266911678;115,506277840691;1919,45844420359;13316,2300080187;269894,277091907;0,0746140263949661
"pop2911.txt";119919;22;4;3;4;6;5;1882;574;319;122;14;23,8448233220137;99,901200694436;708,000235846739;9495,52889008331;335230,352040816;0,07487;22;4;4;4;6;4;1882;645;274;97;13;23,8448233220137;156,738667147407;1065,73516170281;8840,3356360931;333621,443786982;0,0744668724357285;24;3;4;6;6;5;1559;812;398;126;16;11,1837187782994;73,0007932126477;710,785112749678;8416,72593852356;331741,625;0,0709482578373512;22;4;4;5;5;4;1795;690;311;102;13;19,4270447932589;129,112203318631;1020,9059459683;9178,71328335256;333621,443786982;0,0737631044933561;22;4;4;5;4;5;1795;690;313;95;18;19,4162219270788;128,925084183386;1056,33170145724;5844,73498760752;308230,862311385;0,0737823546740036
"pop500.txt";6837621;12;2;2;2;2;4;317;145;20;14;4;1064,00009951338;399703,857978597;7550557,4475;1026830020,55102;3619867995303,69;0,04431;10;2;2;2;2;2;304;163;25;6;2;663,007228185596;634961,070947345;140786215,7984;14314610944,4722;4602814103889;0,0686927595232896;12;2;2;2;2;4;384;80;21;11;4;9761,90863037109;494395,40484375;14767758,9977324;974087928,231405;3619867995303,69;0,0338029881598411;10;2;2;2;2;2;444;41;11;2;2;90596,669157333;15132931,8239143;974087928,231405;3653832,25;4602814103889;0,0384739117316655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"pop800.txt";1535971;14;2;2;2;5;3;599;122;55;21;3;10517,5537526373;207003,52465735;2185236,20694215;99401580,7120181;28067506699,5556;0,07497;14;2;3;3;3;3;596;147;44;10;3;9803,45786225846;655101,513906243;8944594,46694215;65537713,29;28067506699,5556;0,0749861047689211;1500;2;2;2;6;3;415;207;125;50;3;378,725016693279;19695,4186095358;791445,315456;88367065,3056;28067506699,5556;0,12846704617728;15;2;2;3;5;3;556;161;61;19;3;4516,46841196108;190050,745032985;2953015,65923139;97712154,565097;28067506699,5556;0,0707495914501498;14;2;3;3;3;3;605;133;46;13;3;11984,584348181;499319,244194493;5709475,0729432;78555890,1301774;18711671133,0371;0,072006559347638
"rev84.txt";877017;10;2;2;2;2;2;112;101;41;27;3;84775,2053571429;288140,518380551;758820,10707912;3806788,43895748;292993091,555556;0,07472;10;2;2;2;2;2;145;87;37;13;2;151343,181640904;424010,225393051;1011634,22498174;5397088,76923077;109537156;0,073699303099914;12;2;2;2;3;3;122;80;44;35;3;98281,0379602257;163223,7275;453914,76446281;4036369,39265306;292993091,555556;0,0640459873692786;11;2;3;2;2;2;133;99;37;13;2;120101,440330149;484596,085297419;1011634,22498174;5397088,76923077;109537156;0,0686261345809138;10;2;2;2;2;2;124;93;45;19;3;101213,905949469;286300,312254385;1075367,64646365;3041562,96136462;195328727,703705;0,0703040071398308
