"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"cvBarca"
"iso2004.txt";135501719204;31;4;6;6;15;285;134;53;15;613132706518838;4280719178587413;51464360609094984;4655807634754842624;0,04999;31;6;7;5;13;324;122;28;13;1071629210897524;9213556928000376;69994615899124168;4942428055969954816;0,049990268548851;33;3;4;6;20;263;133;71;20;443607476326888;2163046741420016;25862778861179604;4119699925846889472;0,0462542449730964;31;6;6;5;14;314;124;35;14;920420545929297;6955556622291523;58309934312721136;4785877050785761280;0,0489773440116865;31;6;4;7;14;320;107;46;14;1006823145945566;4643174049299127;58985211213757064;4444028690015334400;0,0493803422821976
"Kozak1.txt";64445;8;2;2;2;2;1316;1346;825;513;3,26996470838222;1,9938914266916;2,73484811753903;32,9731161344991;0,04878;8;2;2;2;2;1316;1346;900;438;3,26996470838222;1,9938914266916;3,70118024691358;32,9478743145472;0,0472505257759042;11;2;2;3;4;785;1133;1382;700;1,92243742139641;1,21336086855928;3,77374440030075;33,3813551020408;0,0434240304178078;8;2;2;2;2;1316;1346;966;372;3,26996470838222;1,9938914266916;4,80959668051215;33,0832177130304;0,0469298044539789;9;2;2;3;2;1041;1621;1116;222;2,49847933306256;2,79625507158238;8,59694778588157;33,4119386917962;0,0475638868363587
"Kozak2.txt";11295808;22;6;4;4;8;1734;1247;725;294;200076,839044139;189304,221979423;431872,580642093;8397655,39493961;0,04992;22;6;4;5;7;1579;1345;836;240;169291,985752681;196295,139683531;626983,312057874;8709974,21972222;0,0497091052735883;23;6;5;6;6;1579;1345;836;240;169291,985752681;196295,139683531;626983,312057874;8709974,21972222;0,0480727027760376;22;5;5;6;6;1533;1370;857;240;160974,173330457;197110,81096702;639773,470160624;8709974,21972222;0,0491652379472237;24;6;3;6;9;1612;999;1008;381;175395,391436412;93014,9402761347;446868,710555917;7959799,8984572;0,0490597991917127
"Kozak3.txt";448235;33;11;8;6;8;1029;611;276;84;1344,95913739646;2891,98348338293;8781,50014440244;159537,916524943;0,04977;33;9;7;9;8;979;603;342;76;1196,74247867109;2252,79344570679;11436,282488629;158794,565616343;0,0493458970822557;34;9;7;9;9;968;604;339;89;1166,18573590431;2165,13732950309;9486,56341312728;159266,396414594;0,048660490113972;33;9;7;9;8;987;595;341;77;1219,58202529541;2217,9373886025;11254,9686535204;158956,067127677;0,0493242642457612;33;7;9;7;10;887;700;308;105;960,986168999155;2708,412031207;7077,201022845;155755,28491178;0,0499766066717239
"ME84.txt";505256;23;4;4;7;8;158;81;37;8;36718,5465470277;135401,829903978;1276375,37764792;275203895,5;0,04995;23;4;8;5;6;149;99;30;6;28994,5170037386;261692,33506785;1202389,91666667;296377251,472222;0,0497429317798024;1700;3;4;6;4;154;87;39;4;33139,8190672963;159902,893645131;1986683,63313609;259053296,75;0,0616952204687386;23;5;5;7;6;162;79;37;6;40320,4836153025;142821,293062009;1475033,47845142;296377251,472222;0,048721448884772;23;7;6;4;6;180;71;27;6;64135,6464718795;245517,285079251;1026853,0695524;246981042,893519;0,0498181296378191
"mrts.txt";33765595,919363;42;9;12;12;9;808;874;284;34;6749495,16574427;14396699,1220186;140845965,030369;5800791217,65555;0,04993;40;12;11;8;9;1023;742;203;32;9852964,2875988;17384871,2791728;132916266,891635;5922876843,14162;0,0499841878899851;42;12;12;9;9;1017;748;203;32;9745993,14107443;17510288,2192343;132916266,891635;5922876843,14162;0,048658553259784;41;12;11;9;9;1029;736;203;32;9960536,20298311;17258767,0580718;132916266,891635;5922876843,14162;0,0493068985836773;41;10;9;12;10;924;744;295;37;8236646,73609288;11206357,9616436;131350751,728759;5466103511,13357;0,0498779860615203
"p100e10.txt";99569,17584056;8;2;2;2;2;269;519;97;115;20,5860423856918;14,0135623770396;1,11853205902184;13,7871980613538;0,01655;8;2;2;2;2;214;300;316;170;18,0675038410992;5,88272394165046;5,75381584476397;16,8654444449506;0,0109977135676762;8;2;2;2;2;202;280;315;203;17,5524339781882;5,45105271017001;5,2756982256199;18,3236356529218;0,0110047031212175;8;2;2;2;2;202;280;324;194;17,5524339781882;5,45105271017001;5,64823202854258;17,9598261292603;0,0109827280588819;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"p75.txt";8182;25;8;2;6;9;180;55;40;9;18,9813580246914;17,3004958677686;297,144375;35229,5555555556;0,0498;25;4;4;6;11;150;85;38;11;10,0916;36,1320415224913;206,166897506925;31199,1404958678;0,0487695563934889;2100;5;4;8;4;155;82;43;4;11,2010822060354;37,0643961927424;546,429421308816;41302,25;0,0565584596863683;25;5;4;5;11;155;80;38;11;11,2010822060354;33,5725;206,166897506925;31199,1404958678;0,0480902137557806;25;5;6;5;9;155;87;33;9;11,1288171595448;48,6369902642812;263,837716003006;31315,160493827;0,0485244309791253
"pop1076.txt";22952;35;7;5;7;16;779;228;53;16;5,57109358134997;43,5256232686981;1121,21324314703;120773,02734375;0,0499;35;6;6;4;19;748;259;50;19;4,57289849581058;45,0150713316737;620,3556;117438,725761773;0,0491256237987614;251;2;2;2;245;312;283;221;260;0,246671597633136;0,589818826555457;2,1078192502201;21408,5417751479;0,0284763333682362;35;5;5;6;19;703;285;69;19;3,4509488900445;27,5263034779932;673,318210459987;117438,725761773;0,0490189346480877;35;5;4;7;19;748;235;74;19;4,56678499514775;22,8073042774722;673,932402819181;111257,740195363;0,0495707707059542
"pop1616.txt";55876;57;11;11;10;25;1280;250;60;26;18,0972406005859;480,922704;7508,27638888889;247314,013313609;0,04996;56;14;10;11;21;1340;199;56;21;25,8540092448207;635,355874851645;9275,98852040816;267217,092970521;0,0499701401830334;324;2;2;4;316;416;449;357;394;0,239806767751479;1,24347597482155;5,44490737471459;53478,462160839;0,0420399989862016;57;14;11;11;21;1340;199;56;21;25,8540092448207;635,355874851645;9275,98852040816;267217,092970521;0,0492316231634552;57;15;9;9;24;1366;176;50;24;30,3906999366129;692,906976552226;7324,77440799999;244364,09729456;0,0495656610361185
"pop2911.txt";119919;66;19;18;16;13;2135;603;154;19;44,7154078616128;593,101859414921;8121,52947377298;324503,778393352;0,04996;66;19;16;18;13;2169;562;162;18;49,2703348941591;524,408264839604;8587,60192805975;326362,089506173;0,0497124412929641;68;19;17;19;13;2152;579;162;18;46,8117008385042;534,40520103448;8587,60192805975;326362,089506173;0,0488155688507296;66;19;16;18;13;2176;558;159;18;50,3832509393923;540,736401767706;8526,91404612159;326362,089506173;0,0497181026664212;66;19;17;19;11;2176;563;156;16;50,3600968718651;575,184302030153;9316,39859936318;311007,7734375;0,0497428625923578
"pop500.txt";6837621;10;2;2;2;4;406;76;14;4;19058,527894392;6753040,84903047;1026830020,55102;3619867995303,69;0,0478;10;2;2;2;4;424;64;8;4;37577,43500801;35860921,0036621;947091828,109375;3619867995303,69;0,0456055471922318;10;2;2;2;4;438;47;11;4;68476,6415055983;14597362,612947;974087928,231405;3619867995303,69;0,0387471969718384;10;2;2;2;4;444;41;11;4;90596,669157333;15132931,8239143;974087928,231405;3619867995303,69;0,0384739117316655;10;2;2;2;4;462;26;8;4;229142,582467822;49246703,482021;828705349,595705;2714900996477,77;0,0357048772074818
